"filename", "language", "Vue", "JavaScript", "XML", "comment", "blank", "total"
"d:\Users\Jacob\VueProjects\cyoa\src\App.vue", "Vue", 119, 0, 0, 6, 17, 142
"d:\Users\Jacob\VueProjects\cyoa\src\api\index.js", "JavaScript", 0, 15, 0, 1, 1, 17
"d:\Users\Jacob\VueProjects\cyoa\src\assets\logo.svg", "XML", 0, 0, 1, 0, 1, 2
"d:\Users\Jacob\VueProjects\cyoa\src\components\Comments.vue", "Vue", 83, 0, 0, 3, 13, 99
"d:\Users\Jacob\VueProjects\cyoa\src\components\Feed.vue", "Vue", 72, 0, 0, 5, 11, 88
"d:\Users\Jacob\VueProjects\cyoa\src\components\HelloWorld.vue", "Vue", 141, 0, 0, 0, 11, 152
"d:\Users\Jacob\VueProjects\cyoa\src\components\LogoutBtn.vue", "Vue", 33, 0, 0, 1, 11, 45
"d:\Users\Jacob\VueProjects\cyoa\src\components\Post.vue", "Vue", 321, 0, 0, 18, 29, 368
"d:\Users\Jacob\VueProjects\cyoa\src\components\PostForm.vue", "Vue", 11, 0, 0, 205, 2, 218
"d:\Users\Jacob\VueProjects\cyoa\src\components\Register.vue", "Vue", 146, 0, 0, 2, 11, 159
"d:\Users\Jacob\VueProjects\cyoa\src\components\SideNav.vue", "Vue", 114, 0, 0, 0, 12, 126
"d:\Users\Jacob\VueProjects\cyoa\src\components\TagChip.vue", "Vue", 48, 0, 0, 5, 11, 64
"d:\Users\Jacob\VueProjects\cyoa\src\constants\index.js", "JavaScript", 0, 4, 0, 0, 2, 6
"d:\Users\Jacob\VueProjects\cyoa\src\main.js", "JavaScript", 0, 30, 0, 1, 4, 35
"d:\Users\Jacob\VueProjects\cyoa\src\plugins\vuetify.js", "JavaScript", 0, 5, 0, 0, 3, 8
"d:\Users\Jacob\VueProjects\cyoa\src\router\index.js", "JavaScript", 0, 82, 0, 14, 7, 103
"d:\Users\Jacob\VueProjects\cyoa\src\store\index.js", "JavaScript", 0, 283, 0, 11, 3, 297
"d:\Users\Jacob\VueProjects\cyoa\src\views\Chat.vue", "Vue", 106, 0, 0, 2, 8, 116
"d:\Users\Jacob\VueProjects\cyoa\src\views\Dashboard.vue", "Vue", 36, 0, 0, 0, 12, 48
"d:\Users\Jacob\VueProjects\cyoa\src\views\Home.vue", "Vue", 39, 0, 0, 3, 4, 46
"d:\Users\Jacob\VueProjects\cyoa\src\views\Post.vue", "Vue", 46, 0, 0, 2, 10, 58
"d:\Users\Jacob\VueProjects\cyoa\src\views\RegisterLoginPage.vue", "Vue", 33, 0, 0, 0, 11, 44
"d:\Users\Jacob\VueProjects\cyoa\src\views\Search.vue", "Vue", 52, 0, 0, 0, 9, 61
"d:\Users\Jacob\VueProjects\cyoa\src\views\Submit.vue", "Vue", 33, 0, 0, 0, 13, 46
"d:\Users\Jacob\VueProjects\cyoa\src\views\UnderConstruction.vue", "Vue", 32, 0, 0, 0, 13, 45
"d:\Users\Jacob\VueProjects\cyoa\src\views\User.vue", "Vue", 238, 0, 0, 4, 15, 257
"Total", "-", 1703, 419, 1, 283, 244, 2650
